rowID,stamp,datetime,hum
284999,1497825486, 2017/6/18 22:38:6,64.2
285999,1497825487, 2017/6/18 22:38:7,64.2
286999,1497825488, 2017/6/18 22:38:8,64.3
287999,1497825489, 2017/6/18 22:38:9,64.3
288999,1497825490, 2017/6/18 22:38:10,64.3
289999,1497825491, 2017/6/18 22:38:11,64.3
290999,1497825492, 2017/6/18 22:38:12,64.3
291999,1497825493, 2017/6/18 22:38:13,64.3
292999,1497825494, 2017/6/18 22:38:14,64.3
293999,1497825495, 2017/6/18 22:38:15,64.4
294999,1497825496, 2017/6/18 22:38:16,64.4
295999,1497825497, 2017/6/18 22:38:17,64.4
296999,1497825498, 2017/6/18 22:38:18,64.4
297999,1497825499, 2017/6/18 22:38:19,64.5
298999,1497825500, 2017/6/18 22:38:20,64.5
299999,1497825501, 2017/6/18 22:38:21,64.5
300999,1497825502, 2017/6/18 22:38:22,64.5
301999,1497825503, 2017/6/18 22:38:23,64.5
302999,1497825504, 2017/6/18 22:38:24,64.5
303999,1497825505, 2017/6/18 22:38:25,64.5
304999,1497825506, 2017/6/18 22:38:26,64.5
305999,1497825507, 2017/6/18 22:38:27,64.5
306999,1497825508, 2017/6/18 22:38:28,64.5
307999,1497825509, 2017/6/18 22:38:29,64.5
308999,1497825510, 2017/6/18 22:38:30,64.5
309999,1497825511, 2017/6/18 22:38:31,64.5
310999,1497825512, 2017/6/18 22:38:32,64.6
311999,1497825513, 2017/6/18 22:38:33,64.6
312999,1497825514, 2017/6/18 22:38:34,64.6
313999,1497825515, 2017/6/18 22:38:35,64.6
314999,1497825516, 2017/6/18 22:38:36,64.6
315999,1497825517, 2017/6/18 22:38:37,64.7
316999,1497825518, 2017/6/18 22:38:38,64.7
317999,1497825519, 2017/6/18 22:38:39,64.7
318999,1497825520, 2017/6/18 22:38:40,64.7
319999,1497825521, 2017/6/18 22:38:41,64.7
320999,1497825522, 2017/6/18 22:38:42,64.7
321999,1497825523, 2017/6/18 22:38:43,64.7
322999,1497825524, 2017/6/18 22:38:44,64.7
323999,1497825525, 2017/6/18 22:38:45,64.7
324999,1497825526, 2017/6/18 22:38:46,64.6
325999,1497825527, 2017/6/18 22:38:47,64.6
326999,1497825528, 2017/6/18 22:38:48,64.6
327999,1497825529, 2017/6/18 22:38:49,64.6
328999,1497825530, 2017/6/18 22:38:50,64.6
329999,1497825531, 2017/6/18 22:38:51,64.5
330999,1497825532, 2017/6/18 22:38:52,64.5
331999,1497825533, 2017/6/18 22:38:53,64.5
332999,1497825534, 2017/6/18 22:38:54,64.4
333999,1497825535, 2017/6/18 22:38:55,64.4
334999,1497825536, 2017/6/18 22:38:56,64.5
335999,1497825537, 2017/6/18 22:38:57,64.5
336999,1497825538, 2017/6/18 22:38:58,64.5
337999,1497825539, 2017/6/18 22:38:59,64.4
338999,1497825540, 2017/6/18 22:39:0,64.4
339999,1497825541, 2017/6/18 22:39:1,64.4
340999,1497825543, 2017/6/18 22:39:3,64.3
341999,1497825544, 2017/6/18 22:39:4,64.3
342999,1497825545, 2017/6/18 22:39:5,64.3
343999,1497825546, 2017/6/18 22:39:6,64.2
344999,1497825547, 2017/6/18 22:39:7,64.2
345999,1497825548, 2017/6/18 22:39:8,64.2
346999,1497825549, 2017/6/18 22:39:9,64.2
